-> customer[90]: {atime 89, dtime 79, btype 1, money 231}
-> customer[93]: {atime 92, dtime 49, btype 0, money 225}
-> customer[96]: {atime 95, dtime 61, btype 0, money 605}
-> customer[99]: {atime 98, dtime 32, btype 1, money 576}
-> customer[102]: {atime 101, dtime 82, btype 1, money 368}
-> customer[105]: {atime 104, dtime 39, btype 0, money 118}
-> customer[106]: {atime 105, dtime 54, btype 0, money 468}
-> customer[107]: {atime 106, dtime 95, btype 0, money 967}
-> customer[108]: {atime 107, dtime 41, btype 0, money 852}
-> customer[110]: {atime 109, dtime 27, btype 1, money 58}
-> customer[113]: {atime 112, dtime 25, btype 1, money 469}
-> customer[117]: {atime 116, dtime 87, btype 0, money 605}
-> customer[120]: {atime 119, dtime 1, btype 1, money 981}
-> customer[123]: {atime 122, dtime 83, btype 1, money 908}
-> customer[126]: {atime 125, dtime 87, btype 1, money 916}
-> customer[129]: {atime 128, dtime 100, btype 1, money 142}
-> customer[132]: {atime 131, dtime 58, btype 0, money 502}
-> customer[135]: {atime 134, dtime 20, btype 0, money 822}
-> customer[138]: {atime 137, dtime 7, btype 1, money 132}
-> customer[144]: {atime 143, dtime 39, btype 0, money 224}
-> customer[147]: {atime 146, dtime 91, btype 1, money 547}
-> customer[150]: {atime 149, dtime 81, btype 0, money 656}
-> customer[153]: {atime 152, dtime 29, btype 0, money 301}
-> customer[156]: {atime 155, dtime 1, btype 1, money 456}
-> customer[160]: {atime 159, dtime 28, btype 0, money 363}
-> customer[163]: {atime 162, dtime 20, btype 1, money 864}
-> customer[166]: {atime 165, dtime 1, btype 0, money 95}
-> customer[169]: {atime 168, dtime 29, btype 1, money 393}
-> customer[172]: {atime 171, dtime 68, btype 0, money 568}
-> customer[175]: {atime 174, dtime 4, btype 1, money 242}
-> customer[179]: {atime 178, dtime 3, btype 0, money 140}
-> customer[183]: {atime 182, dtime 11, btype 0, money 804}
-> customer[186]: {atime 185, dtime 71, btype 0, money 581}
-> customer[187]: {atime 186, dtime 43, btype 1, money 274}
-> customer[190]: {atime 189, dtime 38, btype 0, money 232}
-> customer[193]: {atime 192, dtime 82, btype 1, money 582}
-> customer[195]: {atime 194, dtime 14, btype 1, money 381}
-> customer[199]: {atime 198, dtime 16, btype 1, money 446}
-> customer[202]: {atime 201, dtime 69, btype 1, money 519}
-> customer[205]: {atime 204, dtime 19, btype 0, money 193}
-> customer[208]: {atime 207, dtime 57, btype 1, money 208}
-> customer[211]: {atime 210, dtime 11, btype 0, money 750}
-> customer[214]: {atime 213, dtime 99, btype 0, money 626}
-> customer[217]: {atime 216, dtime 6, btype 0, money 195}
-> customer[220]: {atime 219, dtime 51, btype 0, money 695}
-> customer[223]: {atime 222, dtime 86, btype 1, money 656}
-> customer[226]: {atime 225, dtime 78, btype 1, money 55}
-> customer[229]: {atime 228, dtime 64, btype 1, money 51}
-> customer[232]: {atime 231, dtime 10, btype 1, money 476}
-> customer[235]: {atime 234, dtime 53, btype 1, money 483}
-> customer[238]: {atime 237, dtime 30, btype 0, money 445}
-> customer[241]: {atime 240, dtime 59, btype 0, money 872}
-> customer[245]: {atime 244, dtime 87, btype 0, money 717}
-> customer[248]: {atime 247, dtime 6, btype 0, money 15}
-> customer[250]: {atime 249, dtime 80, btype 1, money 851}
-> customer[252]: {atime 251, dtime 5, btype 1, money 572}
-> customer[255]: {atime 254, dtime 43, btype 1, money 240}
-> customer[258]: {atime 257, dtime 23, btype 0, money 9}
-> customer[261]: {atime 260, dtime 12, btype 0, money 677}
-> customer[264]: {atime 263, dtime 63, btype 1, money 244}
-> customer[267]: {atime 266, dtime 26, btype 0, money 689}
-> customer[270]: {atime 269, dtime 12, btype 0, money 94}
-> customer[273]: {atime 272, dtime 38, btype 0, money 484}
-> customer[277]: {atime 276, dtime 50, btype 0, money 140}
-> customer[280]: {atime 279, dtime 5, btype 0, money 564}
-> customer[283]: {atime 282, dtime 2, btype 0, money 533}
-> customer[286]: {atime 285, dtime 53, btype 1, money 702}
-> customer[289]: {atime 288, dtime 78, btype 0, money 715}
-> customer[292]: {atime 291, dtime 7, btype 0, money 247}
-> customer[295]: {atime 294, dtime 55, btype 1, money 161}
-> customer[298]: {atime 297, dtime 10, btype 1, money 460}
-> customer[301]: {atime 300, dtime 11, btype 0, money 978}
-> customer[304]: {atime 303, dtime 38, btype 1, money 449}
-> customer[307]: {atime 306, dtime 94, btype 0, money 737}
-> customer[311]: {atime 310, dtime 21, btype 1, money 111}
-> customer[314]: {atime 313, dtime 46, btype 1, money 502}
-> customer[317]: {atime 316, dtime 94, btype 0, money 540}
-> customer[318]: {atime 317, dtime 43, btype 1, money 37}
-> customer[321]: {atime 320, dtime 66, btype 0, money 444}
-> customer[324]: {atime 323, dtime 37, btype 1, money 528}
-> customer[328]: {atime 327, dtime 14, btype 1, money 721}
-> customer[331]: {atime 330, dtime 59, btype 0, money 743}
-> customer[334]: {atime 333, dtime 60, btype 0, money 308}
-> customer[337]: {atime 336, dtime 65, btype 0, money 13}
-> customer[340]: {atime 339, dtime 54, btype 0, money 716}
-> customer[343]: {atime 342, dtime 100, btype 0, money 972}
